date,close,rsi,avg_gain,avg_loss
20230707,69900,37.96,212.2449,346.9388
20230710,69500,35.98,197.0845,350.7289
20230711,71500,50.01,325.8642,325.6768
20230712,71900,52.27,331.1596,302.4142
20230713,71900,52.27,307.5054,280.8132
20230714,73400,60.09,392.6836,260.7551
20230717,73300,59.4,364.6347,249.2726
20230718,72000,51.08,338.5894,324.3245
20230719,71700,49.36,314.4044,322.5871
20230720,71000,45.51,291.947,349.5451
20230721,70300,41.99,271.0936,374.5776
20230724,70400,42.67,258.8727,347.8221
20230725,70000,40.61,240.3817,351.5491
20230726,69800,39.58,223.2116,340.7241
20230727,71700,52.02,342.9822,316.3867
20230728,70600,46.1,318.4835,372.3591
20230731,69800,42.33,295.7347,402.9049
20230801,71100,49.55,367.4679,374.1259
20230802,69900,44.07,341.2202,433.1169
20230803,68800,39.73,316.8473,480.7514
20230804,68300,37.9,294.2154,482.1263
20230807,68500,39.1,287.4857,447.6887
20230808,67600,35.74,266.951,479.9967
20230809,68900,43.33,340.7402,445.7112
20230810,68000,39.82,316.4016,478.1604
20230811,67500,37.98,293.8015,479.7204
20230814,67300,37.24,272.8157,459.7404
20230816,67000,36.1,253.3289,448.3303
20230817,66700,34.95,235.2339,437.7353
20230818,66300,33.43,218.4315,435.0399
20230821,66600,35.7,224.2578,403.9656
20230822,66600,35.7,208.2394,375.111
20230823,67100,39.67,229.0795,348.3173
20230824,68200,47.39,291.2881,323.4375
20230825,67100,41.65,270.4818,378.9063
20230828,66800,40.22,251.1617,373.2701
20230829,66800,40.22,233.2215,346.6079
20230830,67100,42.51,237.9914,321.8502
20230831,66900,41.37,220.992,313.1467
20230901,71000,63.14,498.064,290.779
20230904,71200,63.84,476.7737,270.0091
20230905,70700,60.72,442.7185,286.437
20230906,70000,56.54,411.0957,315.9772
20230907,70400,58.31,410.3032,293.4074
20230908,70300,57.68,380.9958,279.5926
20230911,70800,60.0,389.4961,259.6217
20230912,70500,57.94,361.675,262.5059
20230913,70900,59.92,364.4125,243.7555
20230914,71700,63.6,395.5259,226.3444
20230915,72000,64.9,388.7026,210.1769
20230918,70200,52.72,360.9381,323.7357
20230919,69800,50.45,335.1568,329.1831
20230920,69600,49.31,311.217,319.9558
20230921,68900,45.43,288.9873,347.1018
20230922,68800,44.89,268.3453,329.4517
20230925,69400,48.84,292.0349,305.9194
20230926,68600,44.28,271.1753,341.2109
20230927,68400,43.2,251.8056,331.1244
20231004,67500,38.61,233.8195,371.7584
20231005,66700,35.05,217.1181,402.347
20231006,66000,32.25,201.6097,423.608
20231010,66400,35.42,215.7804,393.3503
20231011,68200,47.38,328.939,365.2538
20231012,68900,51.17,355.4433,339.1643
20231013,68000,46.53,330.0545,379.2239
20231016,67300,43.25,306.4792,402.1365
20231017,69400,53.79,434.5878,373.4125
20231018,70500,58.17,482.1173,346.7402
20231019,69500,53.23,447.6803,393.4016
20231020,68800,50.02,415.7031,415.3015
20231023,68400,48.24,386.0101,414.2085
20231024,68500,48.73,365.5808,384.6222
20231025,68000,46.35,339.4679,392.8635
20231026,66700,40.79,315.2202,457.6589
20231027,67300,44.12,335.5616,424.969
20231030,67300,44.12,311.5929,394.6141
20231031,66900,42.28,289.3363,394.9988
20231101,68600,51.54,390.098,366.7846
20231102,69700,56.41,440.8052,340.5857
20231103,69600,55.86,409.3192,323.401
20231106,70900,61.16,472.9392,300.3009
20231107,70900,61.16,439.1578,278.8509
20231108,69900,55.24,407.7894,330.3615
20231109,70300,57.04,407.233,306.7643
20231110,70500,57.94,392.4307,284.8525
20231113,70400,57.29,364.3999,271.6488
20231114,70800,59.26,366.9428,252.2453
20231115,72200,65.3,440.7326,234.2278
20231116,72800,67.52,452.1088,217.4972
20231117,72500,65.27,419.8153,223.3903
20231120,72700,66.08,404.1142,207.4338
20231121,72800,66.5,382.3918,192.6171
20231122,72800,66.5,355.0781,178.8588
20231123,72400,62.88,329.7154,194.6546
20231124,71700,57.02,306.1643,230.7507
20231127,71300,53.93,284.2954,242.8399
20231128,72700,61.75,363.9886,225.4942
20231129,72700,61.75,337.9894,209.3875
20231130,72800,62.28,320.9902,194.4312
20231201,72000,55.63,298.0623,237.6861
20231204,72600,59.15,319.6293,220.7085
20231205,71200,49.32,296.7986,304.9437
20231206,71700,52.37,311.313,283.162
20231207,71500,51.05,289.0763,277.2218
20231208,72600,57.41,346.9995,257.4203
20231211,73000,59.47,350.7852,239.0331
20231212,73500,61.95,361.4434,221.9593
20231213,72800,56.72,335.626,256.1051
20231214,73100,58.34,333.0813,237.8119
20231215,73300,59.44,323.5755,220.8253
20231218,72900,56.26,300.463,233.6235
20231219,73400,59.2,314.7156,216.9361
20231220,74800,66.07,392.2359,201.4407
20231221,75000,66.93,378.5048,187.052
20231222,75900,70.53,415.7544,173.6912
20231226,76600,73.0,436.0577,161.2847
20231227,78000,77.12,504.9107,149.7643
20231228,78500,78.39,504.56,139.0669
20240102,79600,80.9,547.0914,129.1335
20240103,77000,62.44,508.0134,305.624
20240104,76600,60.16,471.7268,312.3651
20240105,76600,60.16,438.032,290.0533
20240108,76500,59.53,406.744,276.4781
20240109,74700,49.5,377.6908,385.3011
20240110,73600,44.56,350.7129,436.351
20240111,73200,42.88,325.662,433.7545
20240112,73100,42.45,302.4004,409.9149
20240115,73900,47.03,337.9433,380.6353
20240116,72600,41.28,313.8045,446.3042
20240117,71000,35.53,291.3899,528.711
20240118,71700,39.5,320.5763,490.946
20240119,74700,52.9,511.9637,455.8784
20240122,75100,54.35,503.9663,423.3156
20240123,75200,54.72,475.1116,393.0788
20240124,74000,49.47,441.175,450.716
20240125,74100,49.9,416.8054,418.522
20240126,73400,46.88,387.0336,438.6276
20240129,74400,51.4,430.8169,407.2971
20240130,74300,50.94,400.0442,385.3473
20240131,72700,44.04,371.4697,472.1082
20240201,73600,48.28,409.2218,438.3862
20240202,75200,54.84,494.2774,407.0729
20240205,74300,50.93,458.9719,442.282
20240206,74400,51.34,433.331,410.6904
20240207,75000,53.86,445.236,381.3554
20240208,74100,49.7,413.4334,418.4014
20240213,75200,54.35,462.4739,388.5156
20240214,74000,49.03,429.44,446.4788
20240215,73000,45.07,398.7657,486.016
20240216,72800,44.3,370.2825,465.5863
20240219,73800,48.99,415.2623,432.3301
20240220,73300,46.87,385.6007,437.1637
20240221,73000,45.59,358.0578,427.3663
20240222,73100,46.12,339.6251,396.8401
20240223,72900,45.17,315.3662,382.7801
20240226,72800,44.68,292.84,362.5815
20240227,72900,45.32,279.0657,336.6828
20240228,73200,47.3,280.561,312.6341
20240229,73400,48.63,274.8067,290.3031
20240304,74900,57.34,362.3205,269.5671
20240305,73700,50.03,336.4404,336.0266
20240306,72900,45.84,312.409,369.1676
20240307,72200,42.48,290.0941,392.7985
20240308,73300,48.82,347.9445,364.7414
20240311,72400,44.5,323.0913,402.9742
20240312,73300,49.33,364.2991,374.1903
20240313,74100,53.23,395.4206,347.4624
20240314,74300,54.18,381.4619,322.6437
20240315,72300,44.46,354.2147,442.4549
20240318,72800,47.02,364.6279,410.8509
20240319,72800,47.02,338.5831,381.5044
20240320,76900,63.16,607.2557,354.2541
20240321,79300,69.09,735.3089,328.9503
20240322,78900,67.15,682.7868,334.0252
20240325,78200,63.77,634.0163,360.1663
20240326,79900,67.98,710.158,334.4401
20240327,79800,67.49,659.4324,317.6944
20240328,80800,69.86,683.7587,295.0019
20240329,82400,73.23,749.2045,273.9304
20240401,82000,71.09,695.6899,282.9354
20240402,85000,76.61,860.2835,262.7257
20240403,84100,72.16,798.8346,308.2453
20240404,85300,74.3,827.4893,286.2278
20240405,84500,70.41,768.3829,322.9258
20240408,84500,70.41,713.4984,299.8597
