date,open,close,rsi,avg_gain,avg_loss
20240123,75700,75200,34.76,332.1429,623.4694
20240124,75200,74000,31.7,308.4184,664.6501
20240125,74200,74100,32.23,293.5313,617.1751
20240126,73700,73400,30.43,272.5648,623.0912
20240129,73800,74400,35.93,324.5245,578.5847
20240130,75000,74300,35.63,301.3442,544.4001
20240131,73400,72700,31.1,279.8196,619.8001
20240201,73000,73600,36.03,324.1182,575.5286
20240202,74000,75200,43.73,415.2526,534.4194
20240205,74200,74300,40.75,385.5917,560.5323
20240206,74300,74400,41.23,365.1923,520.4943
20240207,74600,75000,44.14,381.9643,483.3161
20240208,75000,74100,40.87,354.6811,513.0793
20240213,74800,75200,46.13,407.9182,476.4308
20240214,73700,74000,41.77,378.7812,528.1143
20240215,74200,73000,38.5,351.7254,561.8204
20240216,73300,72800,37.86,326.6021,535.9761
20240219,72800,73800,42.95,374.702,497.6921
20240220,73700,73300,41.14,347.9375,497.8569
20240221,73400,73000,40.04,323.0849,483.7243
20240222,73800,73100,40.61,307.1502,449.1726
20240223,73600,72900,39.8,285.2109,431.3745
20240226,72300,72800,39.38,264.8387,407.7049
20240227,73100,72900,40.06,253.0645,378.5831
20240228,72900,73200,42.18,256.4171,351.5415
20240229,72600,73400,43.6,252.3873,326.4314
