Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2025-01-02,52526.62890625,52723.35785346442,51444.61969657069,51838.07759099953,16630538
2025-01-03,53510.27734375,54198.82870662914,51936.44565716912,51936.44565716912,19318046
2025-01-06,54985.74609375,55280.83954326923,53411.914362980766,53510.278846153844,19034284
2025-01-07,54493.921875,56362.84699345668,54493.921875,55871.024593862814,17030235
2025-01-08,56362.8515625,56559.58053828534,53805.374877290575,53903.739365183246,26593553
2025-01-09,55182.4765625,56756.30833611854,55182.4765625,56657.94385026738,24490592
2025-01-10,54395.5625,55575.936369801086,54297.19801084991,55182.478413200726,16059223
2025-01-13,53215.18359375,54100.46391231516,53215.18359375,53707.005992952865,16868600
2025-01-14,53018.45703125,53707.00842126623,52821.72806267393,53313.5504841141,17465926
2025-01-15,52821.7265625,53805.371377444135,52624.99759951117,53215.18448847765,18625025
2025-01-16,53411.9140625,54100.465440837936,53215.18509726059,53313.549579880295,18627298
2025-01-17,52821.7265625,53215.18448847765,52329.90415502793,52920.09104399441,18805344
2025-01-20,52526.62890625,53018.451274286046,52428.26443264279,52723.35785346442,11822531
2025-01-21,52624.99609375,53411.911923189255,52428.26713639019,52821.72505110981,13535702
2025-01-22,53411.9140625,53510.278545119705,52231.54027106354,52526.633718922654,18341991
2025-01-23,52821.7265625,53215.18448847765,52624.99759951117,52821.7265625,15588067
2025-01-24,52821.7265625,52920.09104399441,52329.90415502793,52723.36208100559,11867631
2025-01-31,51542.98828125,52133.1751699666,50854.43691108063,51346.25931834446,42186279
2025-02-03,50165.88671875,50559.344653799024,49969.157751225495,50264.251202512256,32344897
2025-02-04,51838.0859375,52723.36634250474,50657.71206416034,50756.076553605315,27214851
2025-02-05,52034.80859375,52920.0888911862,51936.44411625709,52723.35993620037,15974885
2025-02-06,53116.8203125,53116.8203125,52329.90445601852,52526.63342013889,16466025
2025-02-07,52821.7265625,53313.548969972064,52723.36208100559,53018.455525488826,14476866
2025-02-10,54690.65234375,54985.74579164793,52034.811312668615,52133.175795301264,27577591
2025-02-11,54789.015625,55379.20250785458,54100.46426166966,54592.28666404847,24596196
2025-02-12,54887.3828125,54985.74729782706,53608.64450324821,54198.831415210574,26428596
2025-02-13,54887.3828125,55477.569724462366,54690.65384184588,55182.47626848119,22448377
